job_position,job_link,job_id,company_name,company_profile,job_location,job_posting_date
Generative Al Engineers,https://www.linkedin.com/jobs/view/generative-al-engineers-at-first-soft-solutions-llc-3733804927?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=GpM0Xml53qcOIGi80qxsHg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,3733804927,First Soft Solutions LLC,https://www.linkedin.com/company/first-soft-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Piscataway, NJ",2023-10-06
GenAl Engineer,https://www.linkedin.com/jobs/view/genal-engineer-at-first-soft-solutions-llc-3757599128?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=RNS0EGTBjlHw%2BhMaD94oUA%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,3757599128,First Soft Solutions LLC,https://www.linkedin.com/company/first-soft-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Piscataway, NJ",2023-11-06
"Machine Learning Engineer Onsite ( Phoenix, AZ ) ( Day 1 onsite )",https://www.linkedin.com/jobs/view/machine-learning-engineer-onsite-phoenix-az-%C2%A0-day-1-onsite-at-conch-technologies-inc-3750154029?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=E5PdTo7sR4jjZDJxmBIkpw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,3750154029,"Conch Technologies, Inc",https://www.linkedin.com/company/conch-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Phoenix, AZ",2023-10-30
Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-beam-3753020719?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=cjInedoaIhLz2GkbU5f4Hg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,3753020719,Beam,https://www.linkedin.com/company/slai-labs?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY",2023-10-08
AI/LLM/NLP Engineer,https://www.linkedin.com/jobs/view/ai-llm-nlp-engineer-at-new-company-3751605718?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=biwBVZjJ4u9WFkGqeZ%2FUuw%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,3751605718,New Company,https://www.linkedin.com/company/new-company145?trk=public_jobs_jserp-result_job-search-card-subtitle,"Palo Alto, CA",2023-12-05
AI/ML Engineer-Data Scientist,https://www.linkedin.com/jobs/view/ai-ml-engineer-data-scientist-at-saransh-inc-3760316009?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=ooI%2Bv%2B23bSuGUnTUy9bBxQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,3760316009,Saransh Inc,https://www.linkedin.com/company/saransh-inc-usa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA",2023-11-15
🔨 Founding Engineer,https://www.linkedin.com/jobs/view/%F0%9F%94%A8-founding-engineer-at-inventive-3709963288?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=PKrM7aAn4Ap2PkJ3v6ArsA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,3709963288,Inventive,https://www.linkedin.com/company/madeinventive?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco, CA",2023-08-11
"Machine Learning Engineer Onsite ( Phoenix, AZ )",https://www.linkedin.com/jobs/view/machine-learning-engineer-onsite-phoenix-az-at-conch-technologies-inc-3748455369?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=ZHYz29eXJR8IVxvZ2Z0dBQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,3748455369,"Conch Technologies, Inc",https://www.linkedin.com/company/conch-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,"Phoenix, AZ",2023-10-27
Python Developer IV,https://www.linkedin.com/jobs/view/python-developer-iv-at-winmax-3765039588?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=uhWWzPndi%2BsivN0xdgY%2BfQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,3765039588,WinMax,https://www.linkedin.com/company/winmax-systems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Cupertino, CA",2023-11-16
Founding Engineer,https://www.linkedin.com/jobs/view/founding-engineer-at-create-3696158397?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=S%2BD9NV%2BOd56c950XOBUoRg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,3696158397,Create,https://www.linkedin.com/company/createxyz?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco, CA",2023-08-16
RF/Wi-Fi Automation Engineer,https://www.linkedin.com/jobs/view/rf-wi-fi-automation-engineer-at-infosys-3748838890?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=j2Cx%2BkFvfbTga4UCJXnwHA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,3748838890,Infosys,https://in.linkedin.com/company/infosys?trk=public_jobs_jserp-result_job-search-card-subtitle,"Downingtown, PA",2023-11-30
Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-kudu-dynamics-llc-3762443821?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=HQ7yglN7ieRGiujd4H7%2BkA%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,3762443821,Kudu Dynamics LLC,https://www.linkedin.com/company/kudu-dynamics-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Boulder, CO",2023-10-19
Product Engineer,https://www.linkedin.com/jobs/view/product-engineer-at-turntable-yc-w23-3760581832?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=4tBjlf%2F498JJVa%2BTCsuQaQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,3760581832,Turntable (YC W23),https://www.linkedin.com/company/turntabledata?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY",2023-11-10
Engineer,https://www.linkedin.com/jobs/view/engineer-at-tata-consultancy-services-3762844984?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=6DtV5uer57qMYL9ZDxWZJA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,3762844984,Tata Consultancy Services,https://in.linkedin.com/company/tata-consultancy-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Charlotte, NC",2023-12-05
"Senior Software Engineer, Emerging Products (AI/LLM)",https://www.linkedin.com/jobs/view/senior-software-engineer-emerging-products-ai-llm-at-formation-bio-3779820825?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=6jPh9GXXVfWSyLQs%2Bq7fIA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,3779820825,Formation Bio,https://www.linkedin.com/company/formationbio?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, United States",2023-12-07
NLP - Engineer- Hybrid,https://www.linkedin.com/jobs/view/nlp-engineer-hybrid-at-psrtek-3705247530?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=%2Faw9JQhojiiOytGb%2Foof6g%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,3705247530,PSRTEK,https://www.linkedin.com/company/psrtek-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chicago, IL",2023-08-30
Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-tava-partners-3757592657?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=uKREZj%2FN%2FHbdUoTph31udQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,3757592657,Tava Partners,https://www.linkedin.com/company/tava-partners?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chicago, IL",2023-11-06
Sr. LLM Engineer [72798],https://www.linkedin.com/jobs/view/sr-llm-engineer-72798-at-onward-search-3758930880?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=KgK6UEHXKBY%2F9tSoOHPKtw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,3758930880,Onward Search,https://www.linkedin.com/company/onward-search?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY",2023-12-13
Implementation Engineer – AI Product,https://www.linkedin.com/jobs/view/implementation-engineer-%E2%80%93-ai-product-at-prime-team-partners-3774108008?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=srHGh4OtEYberZYwNi2PTQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,3774108008,Prime Team Partners,https://www.linkedin.com/company/prime-team-partners?trk=public_jobs_jserp-result_job-search-card-subtitle,"Palo Alto, CA",2023-12-04
Applied AI Engineer,https://www.linkedin.com/jobs/view/applied-ai-engineer-at-distyl-ai-3561387949?refId=567nptPfXdTia28xkcKlhQ%3D%3D&trackingId=iSjvSAWa%2FjvDGnUGdXn7OQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,3561387949,Distyl AI,https://www.linkedin.com/company/distylai?trk=public_jobs_jserp-result_job-search-card-subtitle,"San Francisco, CA",2023-04-07
